,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contractor:,,,,,,Customer:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOT 1: CONSTRUCTION OF 500KV JVARI - TSKALTUBO OVERHEAD LINE,,,,,,,,,,,,,,,,,,,,,,,,,Consultant:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRUCTURE LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INSULATOR/ HARDWARE  SETS FOR CONDUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDWARE  SETS FOR OPGW & EARTHWIRE,,,,,,,,     NOTES   ,,,,,,,,,,,,,,,,,,,,,,,,,
,SS :,SINGLE  SUSPENSION SET,,,,,,,,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,95-S :,SUSPENSION SET FOR 95 mm2 EW/OPGW,,,,,,,1-,Basic  Earthing System were proposed for all Towers. The Final Earthing will determined after Soil Resistivity Tests,,,,,,,,,,,,,,,,,,,,,,,,
,DS :,DOUBLE  SUSPENSION SET,,,,,,,,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,95-T :,ANCHOR / TENSION SET FOR 95 mm2 EW/OPGW,,,,,,,2-,Foundation Types will be finalized after performing the Soil Investigation Test ,,,,,,,,,,,,,,,,,,,,,,,,
,ST :,SINGLE TENSION SET,,,,,,,,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,95-TSJ,SUSPENSION SET FOR 185 mm2 EW/OPGW,,,,,,,3-,The Distribution of  Dampers are determined as per  Damping Study for Conductor and EW,,,,,,,,,,,,,,,,,,,,,,,,
,2T :,DOUBLE TENSION SET,,,,,,,,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,185-S :,SUSPENSION SET FOR 185 mm2 EW/OPGW,,,,,,,4-,C.W : Counter Weight,,,,,,,,,,,,,,,,,,,,,,,,
,3T :,TRIPLE TENSION SET,,,,,,,,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,185-T :,ANCHOR / TENSION SET FOR 185 mm2 EW/OPGW,,,,,,,5-,"W.S : Warning Spheres (60 cm Diameter, Red)",,,,,,,,,,,,,,,,,,,,,,,,
,JS :,JUMPER SUSPENSION SET,,,,,,,,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JB :,JOINT BOX FOR OPGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FOUNDATION,,,,,,,,,,ERECTION,,,,STRINGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
